ID |   PC   SP  ST  BLK  START  USED
 0 |   34  900   0     0      0      0
 1 | 1000 1999   1     0     35      0
 2 | 2000 2999   0     0      0      0
 3 | 3000 3999   0     0      0      0
 4 | 4000 4999   0     0      0      0
 5 | 5000 5999   0     0      0      0
 6 | 6000 6999   0     0      0      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 1999   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2000 2999   1     0    303      0
 3 | 3000 3999   0     0      0      0
 4 | 4000 4999   0     0      0      0
 5 | 5000 5999   0     0      0      0
 6 | 6000 6999   0     0      0      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 2999   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3000 3999   1     0    383      0
 4 | 4000 4999   0     0      0      0
 5 | 5000 5999   0     0      0      0
 6 | 6000 6999   0     0      0      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 3999   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 | 4000 4999   1     0    469      0
 5 | 5000 5999   0     0      0      0
 6 | 6000 6999   0     0      0      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 5000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 | 5000 5999   1     0    542      0
 6 | 6000 6999   0     0      0      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 6000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 | 6000 6999   1     0    615      0
 7 | 7000 7999   0     0      0      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 7000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 | 7000 7999   1     0    688      0
 8 | 8000 8999   0     0      0      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 8000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 | 8000 8999   1     0    761      0
 9 | 9000 9999   0     0      0      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 9000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 | 9000 9999   1     0    834      0
10 | 10000 10999   0     0      0      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 10000   0     0      0      0
 1 | 1035 1999   1     0     35    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 | 10000 10999   1     0    907      0
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 11000   0     0      0      0
 1 | 1035 1999   1     0    981    208
 2 | 2016 2999   1     0    303     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 1999   0     0      0      0
 1 | 1035 1999   1     0    981    391
 2 | 2016 2999   1     0   1224     20
 3 | 3009 3999   2   100    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 2999   0     0      0      0
 1 | 1035 1999   1     0   1490    391
 2 | 2016 2999   1     0   1224     36
 3 | 3009 3999   0     0    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 1999   0     0      0      0
 1 | 1035 1999   1     0   1490    540
 2 | 2016 2999   1     0   1699     36
 3 | 3009 3999   0     0    383      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 2999   0     0      0      0
 1 | 1035 1999   1     0   1490    540
 2 | 2016 2999   1     0   1699     56
 3 | 3009 3999   1     0   1779      9
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 3999   0     0      0      0
 1 | 1035 1999   1     0   1998    540
 2 | 2016 2999   1     0   1699     56
 3 | 3013 3999   1     0   1779     13
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 1999   0     0      0      0
 1 | 1035 1999   1     0   1998    665
 2 | 2016 2999   1     0   2183     56
 3 | 3013 3999   1     0   1779     13
 4 |    0 5000   3     0    469      1
 5 |    0 6000   3     0    542      1
 6 |    0 7000   3     0    615      1
 7 |    0 8000   3     0    688      1
 8 |    0 9000   3     0    761      1
 9 |    0 10000   3     0    834      1
10 |    0 11000   3     0    907      1
ID |   PC   SP  ST  BLK  START  USED
 0 |   34 2999   0     0      0      0
 1 | 1035 1999   1     0   1998    665
 2 | 2016 2999   1     0   2183     72
 3 | 3013 3999   1     0   2259     13
 4 |    0 5000   3     0    469      1
